prd_id,cat_id,prd_key,prd_nm,prd_cost,prd_line,prd_start_dt,prd_end_dt
264,CO_RF,FR-R38R-48,LL Road Frame - Red- 48,181,Road,2011-07-01,2012-06-30
265,CO_RF,FR-R38R-48,LL Road Frame - Red- 48,187,Road,2012-07-01,
266,CO_RF,FR-R38R-52,LL Road Frame - Red- 52,181,Road,2011-07-01,2012-06-30
267,CO_RF,FR-R38R-52,LL Road Frame - Red- 52,187,Road,2012-07-01,
268,CO_RF,FR-R38R-58,LL Road Frame - Red- 58,181,Road,2011-07-01,2012-06-30
269,CO_RF,FR-R38R-58,LL Road Frame - Red- 58,187,Road,2012-07-01,
270,CO_RF,FR-R38R-60,LL Road Frame - Red- 60,181,Road,2011-07-01,2012-06-30
271,CO_RF,FR-R38R-60,LL Road Frame - Red- 60,187,Road,2012-07-01,
272,CO_RF,FR-R38R-62,LL Road Frame - Red- 62,181,Road,2011-07-01,2012-06-30
273,CO_RF,FR-R38R-62,LL Road Frame - Red- 62,187,Road,2012-07-01,
274,CO_RF,FR-R72R-44,ML Road Frame - Red- 44,352,Road,2011-07-01,
275,CO_RF,FR-R72R-48,ML Road Frame - Red- 48,352,Road,2011-07-01,
276,CO_RF,FR-R72R-52,ML Road Frame - Red- 52,352,Road,2011-07-01,
277,CO_RF,FR-R72R-58,ML Road Frame - Red- 58,352,Road,2011-07-01,
278,CO_RF,FR-R72R-60,ML Road Frame - Red- 60,352,Road,2011-07-01,
417,CO_RF,FR-R72Y-38,ML Road Frame-W - Yellow- 38,300,Road,2012-07-01,2013-06-30
418,CO_RF,FR-R72Y-38,ML Road Frame-W - Yellow- 38,361,Road,2013-07-01,
429,CO_RF,FR-R72Y-40,ML Road Frame-W - Yellow- 40,300,Road,2012-07-01,2013-06-30
430,CO_RF,FR-R72Y-40,ML Road Frame-W - Yellow- 40,361,Road,2013-07-01,
431,CO_RF,FR-R72Y-42,ML Road Frame-W - Yellow- 42,300,Road,2012-07-01,2013-06-30
432,CO_RF,FR-R72Y-42,ML Road Frame-W - Yellow- 42,361,Road,2013-07-01,
433,CO_RF,FR-R72Y-44,ML Road Frame-W - Yellow- 44,300,Road,2012-07-01,2013-06-30
434,CO_RF,FR-R72Y-44,ML Road Frame-W - Yellow- 44,361,Road,2013-07-01,
435,CO_RF,FR-R72Y-48,ML Road Frame-W - Yellow- 48,300,Road,2012-07-01,2013-06-30
436,CO_RF,FR-R72Y-48,ML Road Frame-W - Yellow- 48,361,Road,2013-07-01,
439,CO_RF,FR-R92B-44,HL Road Frame - Black- 44,722,Road,2012-07-01,2013-06-30
440,CO_RF,FR-R92B-44,HL Road Frame - Black- 44,869,Road,2013-07-01,
441,CO_RF,FR-R92B-48,HL Road Frame - Black- 48,722,Road,2012-07-01,2013-06-30
442,CO_RF,FR-R92B-48,HL Road Frame - Black- 48,869,Road,2013-07-01,
443,CO_RF,FR-R92B-52,HL Road Frame - Black- 52,722,Road,2012-07-01,2013-06-30
444,CO_RF,FR-R92B-52,HL Road Frame - Black- 52,869,Road,2013-07-01,
210,CO_RF,FR-R92B-58,HL Road Frame - Black- 58,0,Road,2003-07-01,
437,CO_RF,FR-R92B-62,HL Road Frame - Black- 62,722,Road,2012-07-01,2013-06-30
438,CO_RF,FR-R92B-62,HL Road Frame - Black- 62,869,Road,2013-07-01,
241,CO_RF,FR-R92R-44,HL Road Frame - Red- 44,748,Road,2011-07-01,2012-06-30
242,CO_RF,FR-R92R-44,HL Road Frame - Red- 44,722,Road,2012-07-01,2013-06-30
243,CO_RF,FR-R92R-44,HL Road Frame - Red- 44,869,Road,2013-07-01,
244,CO_RF,FR-R92R-48,HL Road Frame - Red- 48,748,Road,2011-07-01,2012-06-30
245,CO_RF,FR-R92R-48,HL Road Frame - Red- 48,722,Road,2012-07-01,2013-06-30
246,CO_RF,FR-R92R-48,HL Road Frame - Red- 48,869,Road,2013-07-01,
247,CO_RF,FR-R92R-52,HL Road Frame - Red- 52,748,Road,2011-07-01,2012-06-30
248,CO_RF,FR-R92R-52,HL Road Frame - Red- 52,722,Road,2012-07-01,2013-06-30
249,CO_RF,FR-R92R-52,HL Road Frame - Red- 52,869,Road,2013-07-01,
250,CO_RF,FR-R92R-56,HL Road Frame - Red- 56,748,Road,2011-07-01,2012-06-30
251,CO_RF,FR-R92R-56,HL Road Frame - Red- 56,722,Road,2012-07-01,2013-06-30
252,CO_RF,FR-R92R-56,HL Road Frame - Red- 56,869,Road,2013-07-01,
211,CO_RF,FR-R92R-58,HL Road Frame - Red- 58,0,Road,2003-07-01,
238,CO_RF,FR-R92R-62,HL Road Frame - Red- 62,748,Road,2011-07-01,2012-06-30
239,CO_RF,FR-R92R-62,HL Road Frame - Red- 62,722,Road,2012-07-01,2013-06-30
240,CO_RF,FR-R92R-62,HL Road Frame - Red- 62,869,Road,2013-07-01,
515,CO_SA,SE-M236,LL Mountain Seat/Saddle,12,Mountain,2013-07-01,
516,CO_SA,SE-M798,ML Mountain Seat/Saddle,17,Mountain,2013-07-01,
517,CO_SA,SE-M940,HL Mountain Seat/Saddle,23,Mountain,2013-07-01,
518,CO_SA,SE-R581,LL Road Seat/Saddle,12,Road,2013-07-01,
519,CO_SA,SE-R908,ML Road Seat/Saddle,17,Touring,2013-07-01,
520,CO_SA,SE-R995,HL Road Seat/Saddle,23,Road,2013-07-01,
521,CO_SA,SE-T312,LL Touring Seat/Saddle,12,Touring,2013-07-01,
522,CO_SA,SE-T762,ML Touring Seat/Saddle,17,Touring,2013-07-01,
523,CO_SA,SE-T924,HL Touring Seat/Saddle,23,Touring,2013-07-01,
510,CO_TF,FR-T67U-44,LL Touring Frame - Blue- 44,200,Touring,2013-07-01,
502,CO_TF,FR-T67U-50,LL Touring Frame - Blue- 50,200,Touring,2013-07-01,
503,CO_TF,FR-T67U-54,LL Touring Frame - Blue- 54,200,Touring,2013-07-01,
504,CO_TF,FR-T67U-58,LL Touring Frame - Blue- 58,200,Touring,2013-07-01,
505,CO_TF,FR-T67U-62,LL Touring Frame - Blue- 62,200,Touring,2013-07-01,
506,CO_TF,FR-T67Y-44,LL Touring Frame - Yellow- 44,200,Touring,2013-07-01,
507,CO_TF,FR-T67Y-50,LL Touring Frame - Yellow- 50,200,Touring,2013-07-01,
508,CO_TF,FR-T67Y-54,LL Touring Frame - Yellow- 54,200,Touring,2013-07-01,
509,CO_TF,FR-T67Y-58,LL Touring Frame - Yellow- 58,200,Touring,2013-07-01,
493,CO_TF,FR-T67Y-62,LL Touring Frame - Yellow- 62,200,Touring,2013-07-01,
497,CO_TF,FR-T98U-46,HL Touring Frame - Blue- 46,602,Touring,2013-07-01,
498,CO_TF,FR-T98U-50,HL Touring Frame - Blue- 50,602,Touring,2013-07-01,
499,CO_TF,FR-T98U-54,HL Touring Frame - Blue- 54,602,Touring,2013-07-01,
500,CO_TF,FR-T98U-60,HL Touring Frame - Blue- 60,602,Touring,2013-07-01,
494,CO_TF,FR-T98Y-46,HL Touring Frame - Yellow- 46,602,Touring,2013-07-01,
495,CO_TF,FR-T98Y-50,HL Touring Frame - Yellow- 50,602,Touring,2013-07-01,
496,CO_TF,FR-T98Y-54,HL Touring Frame - Yellow- 54,602,Touring,2013-07-01,
492,CO_TF,FR-T98Y-60,HL Touring Frame - Yellow- 60,602,Touring,2013-07-01,
410,CO_WH,FW-M423,LL Mountain Front Wheel,27,Mountain,2012-07-01,
411,CO_WH,FW-M762,ML Mountain Front Wheel,93,Mountain,2012-07-01,
412,CO_WH,FW-M928,HL Mountain Front Wheel,133,Mountain,2012-07-01,
413,CO_WH,FW-R623,LL Road Front Wheel,38,Road,2012-07-01,
414,CO_WH,FW-R762,ML Road Front Wheel,110,Road,2012-07-01,
415,CO_WH,FW-R820,HL Road Front Wheel,147,Road,2012-07-01,
416,CO_WH,FW-T905,Touring Front Wheel,97,Touring,2012-07-01,
419,CO_WH,RW-M423,LL Mountain Rear Wheel,39,Mountain,2012-07-01,
420,CO_WH,RW-M762,ML Mountain Rear Wheel,105,Mountain,2012-07-01,
421,CO_WH,RW-M928,HL Mountain Rear Wheel,145,Mountain,2012-07-01,
422,CO_WH,RW-R623,LL Road Rear Wheel,50,Road,2012-07-01,
423,CO_WH,RW-R762,ML Road Rear Wheel,122,Road,2012-07-01,
424,CO_WH,RW-R820,HL Road Rear Wheel,159,Road,2012-07-01,
425,CO_WH,RW-T905,Touring Rear Wheel,109,Touring,2012-07-01,
